question,type,history,kure_openai_avg_faithfulness,kure_openai_avg_relevance,kure_openai_avg_rejection,kure_openai_avg_correctness,kure_openai_avg_context_precision,kure_openai_avg_context_recall,small_openai_avg_faithfulness,small_openai_avg_relevance,small_openai_avg_rejection,small_openai_avg_correctness,small_openai_avg_context_precision,small_openai_avg_context_recall,kure_gemma_avg_faithfulness,kure_gemma_avg_relevance,kure_gemma_avg_rejection,kure_gemma_avg_context_precision,kure_gemma_avg_correctness,kure_gemma_avg_context_recall,kure_phi_avg_faithfulness,kure_phi_avg_relevance,kure_phi_avg_rejection,kure_phi_avg_context_precision,kure_phi_avg_correctness,kure_phi_avg_context_recall,kure_qwen_avg_faithfulness,kure_qwen_avg_relevance,kure_qwen_avg_rejection,kure_qwen_avg_context_precision,kure_qwen_avg_correctness,kure_qwen_avg_context_recall,koe5_gemma_avg_faithfulness,koe5_gemma_avg_relevance,koe5_gemma_avg_rejection,koe5_gemma_avg_context_precision,koe5_gemma_avg_correctness,koe5_gemma_avg_context_recall,koe5_phi_avg_faithfulness,koe5_phi_avg_relevance,koe5_phi_avg_rejection,koe5_phi_avg_context_precision,koe5_phi_avg_correctness,koe5_phi_avg_context_recall,koe5_qwen_avg_faithfulness,koe5_qwen_avg_relevance,koe5_qwen_avg_rejection,koe5_qwen_avg_context_precision,koe5_qwen_avg_correctness,koe5_qwen_avg_context_recall,koe5_openai_avg_faithfulness,koe5_openai_avg_relevance,koe5_openai_avg_rejection,koe5_openai_avg_context_precision,koe5_openai_avg_correctness,koe5_openai_avg_context_recall,small_gemma_avg_faithfulness,small_gemma_avg_relevance,small_gemma_avg_rejection,small_gemma_avg_context_precision,small_gemma_avg_correctness,small_gemma_avg_context_recall,small_phi_avg_faithfulness,small_phi_avg_relevance,small_phi_avg_rejection,small_phi_avg_context_precision,small_phi_avg_correctness,small_phi_avg_context_recall,small_qwen_avg_faithfulness,small_qwen_avg_relevance,small_qwen_avg_rejection,small_qwen_avg_context_precision,small_qwen_avg_correctness,small_qwen_avg_context_recall
"한국연구재단의 UICC 실태조사 시스템 기능개선 사업의 과업에, 국내 모든 대학의 매년 1학기 등록금 결제 게이트웨이(PG) 서버 구축 연동 계획이 포함되어 있습니까?",D,[],3,5,5,,1,,3,5,5,,1,,5,3,5,1,,,5,3,5,1,,,1,2,5,1,,,3,3,5,1,,,5,3,5,2,,,5,2,5,1,,,4,5,5,1,,,3,3,5,1,,,5,3,5,1,,,1,2,5,1,,
기쵼학문쟈료센탸 시스템으루 구츅대는 e-r&d 디비 샤업으이 츄진 예산은 툥액이 얼마루 잡혔는감용?,E,[],4,3,3,,2,,3,4,3,,4,,5,3,5,1,,,5,3,5,1,,,5,2,5,1,,,5,4,5,1,,,5,4,5,1,,,1,1,5,1,,,2,4,3,4,,,1,5,1,1,,,1,3,1,1,,,1,2,3,1,,
인쳔공향 차세데 ERP 구츅 사옵에 춍 예산 얼마고 이거 사업하면 결국 운영진이 잴루 노리는 업무 자동화 같은 메인 기대효과 두세 개만 엮어서 길게 요약해 줄래여?,E,[],3,5,5,,5,,5,5,5,,5,,5,1,5,1,,,5,1,5,1,,,1,3,1,1,,,1,4,1,1,,,3,3,5,1,,,1,3,1,1,,,2,4,5,4,,,1,5,1,1,,,1,4,1,1,,,1,3,1,1,,
한국수출입은행이 진행하는 모잠비크 마푸토 지능형교통시스템(ITS) 사업의 총 추진 예산은 얼마로 고지되어 있습니까?,A,[],2,2,5,,1,,5,5,5,,5,,5,2,5,1,,,5,2,5,1,,,5,2,5,1,,,1,4,1,1,,,1,5,1,1,,,1,5,1,1,,,3,2,5,1,,,1,5,1,1,,,1,5,1,1,,,1,5,1,1,,
(주)에스알의 '예약발매시스템 개량 ISMP 용역'이 최종적으로 개선을 지향하는 현업 핵심 포털 시스템의 명칭은 무엇입니까?,A,[],4,5,5,,4,,1,3,5,,2,,5,1,5,5,,,5,2,5,5,,,5,2,5,5,,,1,3,5,1,,,5,2,5,5,,,5,5,5,5,,,4,2,5,2,,,1,1,5,5,,,5,1,5,1,,,1,2,5,1,,
인천광역시의 '인천일자리플랫폼 정보시스템 구축 ISP 수립용역' 사업비 한도는 얼마입니까?,A,[],2,2,5,,1,,2,2,1,,2,,5,3,5,1,,,5,2,5,1,,,4,4,5,1,,,1,1,5,1,,,5,2,5,1,,,1,2,5,1,,,4,2,5,1,,,1,1,5,1,,,5,2,5,1,,,1,2,5,1,,
한국수자원공사가 발주한 '수도사업장 사고분석솔루션 시범구축 용역'에서 단일 통합관리체계로 도출해내고자 하는 4가지 주요 정보 요소를 열거하십시오.,A,[],5,5,5,,4,,5,5,5,,2,,5,1,5,5,,,5,2,5,1,,,1,2,5,5,,,1,2,1,5,,,1,1,1,5,,,1,5,1,5,,,5,5,5,1,,,1,2,1,1,,,1,1,1,1,,,1,4,1,5,,
"한국연구재단 발주 '기초학문자료센터 시스템 운영 비용'(2.12억) 중 매월 고정 인프라 유지비결제액이 연간 총 예산의 환산 기준 10%를 차지할 때, 고정 서버 임대비 및 기술지원비로 1년간 소모되는 예산 총액은 가상으로 얼마인가요?",A,[],2,3,5,,2,,2,4,5,,2,,1,2,1,1,,,5,1,5,1,,,5,1,5,1,,,1,3,5,1,,,5,1,5,1,,,5,3,5,1,,,2,3,5,1,,,5,2,5,1,,,5,1,5,1,,,1,3,5,1,,
"인천공항운영서비스의 차세대 ERP 구축 사업(9.96억)을 수행함에 있어 초기 계약 선수금으로 전체 예산의 25%가 선지급되고, 중간 보고 시점에 35%가, 최종 프로젝트 인수 완수 후 잔금 40%가 정산된다고 할 때 과업 착수에 맞춰 지급되는 초기 선수액은 얼마입니까?",A,[],2,5,1,,5,,1,5,1,,4,,1,5,1,5,,,1,5,1,5,,,1,4,1,5,,,5,2,5,5,,,1,5,1,5,,,1,4,1,5,,,2,4,1,4,,,5,1,5,1,,,5,2,5,3,,,1,5,1,5,,
인천광역시 소재 '도시계획위원회 관리시스템 사업비'와 한국연구재단의 '기초학문자료센터 원스톱 DB 구축 사업비' 간의 자금 확보 편차는 얼마입니까?,B,[],1,1,5,,1,,1,2,5,,1,,5,2,5,1,,,5,2,5,1,,,1,2,5,1,,,1,3,5,2,,,5,1,5,1,,,1,3,3,1,,,1,2,5,1,,,1,1,5,1,,,5,2,5,1,,,1,2,5,1,,
(주)에스알의 철도 예약발매 ISMP 사업비용 추산액(0원/미기재)이 경희대학교의 정보시스템 운영 예산(미기재)보다 월등히 높은 규모인가요?,B,[],2,3,3,,1,,2,3,3,,1,,5,3,5,2,,,5,2,5,1,,,5,2,5,1,,,1,3,5,1,,,1,3,1,1,,,1,1,5,1,,,2,3,5,2,,,4,1,5,1,,,1,4,1,1,,,1,2,5,1,,
한국가스공사 통합 ERP 도입 사업 및 인천공항 차세대 ERP 사업 중 더 낮은 도입 예산을 책정한 기업과 그 규모는 얼마입니까?,B,[],1,3,5,,3,,2,2,5,,4,,5,1,5,1,,,5,1,5,1,,,5,1,5,5,,,1,3,5,5,,,5,1,5,1,,,1,3,5,1,,,3,3,5,4,,,1,3,5,1,,,5,1,5,1,,,1,2,5,1,,
국립공원공단(혹은 철도공사)의 '모바일오피스 고도화 용역'과 한국연구재단의 'UICC 시스템 기능개선 사업'의 융합 발주 시 공개된 예산상 총합은 어떻게 구해집니까?,B,[],1,2,3,,1,,3,4,5,,4,,5,1,5,1,,,5,2,5,1,,,1,3,5,1,,,1,2,5,2,,,5,2,5,2,,,5,2,5,1,,,1,2,5,1,,,5,1,5,4,,,5,2,5,3,,,1,4,5,2,,
한국수자원공사의 수도사업장 사고분석솔루션 용역과 인천광역시 도시계획위원회 통합관리시스템 구축 용역이 내부 전산 실무자들의 어떠한 불편을 해소하려는지 기술 접근성에 중점을 두고 비교하십시오.,B,[],1,2,5,,1,,1,1,5,,2,,5,1,5,1,,,5,1,5,1,,,5,2,5,1,,,1,3,5,1,,,1,2,1,2,,,1,2,5,1,,,1,1,5,1,,,1,2,5,2,,,5,1,5,1,,,3,4,5,2,,
인천공항운영서비스의 차세대 ERP시스템과 한국연구재단 대학산학협력활동 실태조사 시스템(UICC)은 양자 모두 대형 공공 인프라를 지탱합니다. 각 시스템의 최종 사용 결과물을 직접 보고 확인하는 핵심 이해당사자 그룹은 어떻게 구분됩니까?,B,[],2,2,5,,2,,2,3,3,,2,,5,1,5,1,,,5,2,5,1,,,1,2,5,2,,,1,2,5,1,,,5,2,5,1,,,1,2,5,1,,,2,2,1,1,,,1,3,5,1,,,5,1,5,1,,,1,2,5,1,,
인천 일자리플랫폼 정보시스템 기획 사업(ISP) 및 한국수출입은행 모잠비크 마푸토 ITS 시스템 타당성(F/S) 용역이 국가 주도의 공익적 목표를 추구하면서 각각 구체적으로 어떤 구조적 계층의 민원을 해결하려 합니까?,B,[],2,2,3,,2,,2,2,5,,1,,5,1,5,1,,,5,2,5,1,,,1,2,5,1,,,5,3,5,1,,,1,2,1,1,,,1,2,1,1,,,1,2,5,1,,,5,3,5,1,,,5,2,5,1,,,1,2,5,1,,
"한국연구재단의 기초학문 원스톱 포털 사업 예산, 그리고 같은 기관의 UICC 실태조사 시스템 기능개선 사업의 예산을 병합한 다음, 이를 한국수자원공사의 사고분석솔루션 시범구축 예산과 다시 더하여 이 3개 중소형 정보 체계 사업의 총괄 공공 예산을 구하고 세 시스템이 기존 운용 환경에서 탈피하여 공통적으로 구현하려는 시스템의 '접근성 보장 방식'을 논해 보십시오.",B,[],1,2,5,,2,,2,2,5,,2,,5,1,5,1,,,5,1,5,1,,,1,2,1,1,,,1,3,5,1,,,1,1,1,1,,,1,3,1,1,,,1,2,5,2,,,4,3,3,1,,,5,1,5,5,,,1,1,5,1,,
인천광역시 인천일자리플랫폼 ISP 수립 사업에서 개발 주관사로 선정된 업체 임직원들에게 매월 무상 제공되는 관내 공영주차장 이용권 및 식대 지원 액수는 과업서상 어떻게 명시되어 있습니까?,D,[],1,1,5,,1,,1,2,5,,1,,5,1,5,1,,,5,1,5,1,,,5,2,5,5,,,5,2,5,1,,,5,2,5,2,,,5,5,5,1,,,1,1,5,1,,,5,2,5,1,,,5,2,5,1,,,5,5,5,1,,
경희대학교의 '산학협력단 정보시스템 운영' 유지보수 담당자가 학교 내부 서버실에 상주하며 근무할 때 야간 당직 시 필수적으로 배급받게 되는 특수 철야 근무수당 및 간식 포인트 항목의 월별 상한 한도액은 얼마입니까?,D,[],1,1,5,,1,,1,2,5,,1,,5,1,5,1,,,5,2,5,1,,,5,2,5,1,,,1,1,5,1,,,5,1,5,1,,,3,3,5,5,,,1,1,5,1,,,5,2,5,1,,,5,1,5,2,,,5,1,5,1,,
그 굥희머학교 샨합혁렵댠 증뵤시쓰탬 운용 샤업 잇쟌아효 그거 에싼이 얼마져?,E,[],3,3,3,,1,,5,1,1,,1,,5,2,5,1,,,5,1,5,1,,,5,3,5,1,,,1,1,1,1,,,5,2,5,1,,,1,5,1,1,,,2,4,1,2,,,1,3,3,1,,,5,1,5,1,,,1,4,1,1,,
잇잔아요 수자원공사셔 하는거 뷰수도셔업댬 쌰고분셕숼루선 시범구축 용옉에 토탈루 드러가는 예싼 규모가 얼망임요??,E,[],5,5,5,,5,,5,5,5,,5,,5,2,5,1,,,5,2,5,1,,,5,2,5,1,,,1,5,1,1,,,1,1,1,1,,,1,5,1,1,,,5,5,5,5,,,1,5,1,1,,,5,2,5,1,,,1,5,1,1,,
인천공항운영서비스 차세대 ERP 시스템 구축 사업에서 최종적으로 개선하고자 달성 시점의 대상 목표 기간은 총 몇 개월로 산정되어 있습니까?,A,[],4,5,5,,5,,5,5,1,,3,,5,2,5,1,,,5,1,5,1,,,1,2,5,5,,,1,5,1,1,,,1,5,1,1,,,1,5,1,5,,,5,5,5,4,,,3,5,5,1,,,1,5,1,1,,,1,5,1,5,,
(사)인천광역시가 주관하는 '도시계획위원회 통합관리시스템 구축용역'의 최종 과업 목적은 주로 무엇을 전산으로 대체하는 것입니까?,A,[],2,1,5,,1,,2,1,5,,1,,5,1,5,5,,,5,1,5,1,,,1,3,1,1,,,1,1,5,1,,,5,1,5,5,,,1,1,5,1,,,1,1,5,1,,,1,2,5,5,,,5,1,5,1,,,1,1,5,1,,
한국수출입은행의 모잠비크 마푸토 지능형교통시스템(ITS) 사업은 어떤 분야에 대한 계획을 다루나요?,A,[],5,3,5,,1,,5,5,5,,2,,5,1,5,1,,,5,2,5,1,,,5,2,5,1,,,1,1,1,1,,,1,1,1,1,,,1,2,1,1,,,3,2,3,1,,,2,4,3,5,,,1,1,1,1,,,1,5,1,1,,
"한국연구재단의 '기초학문자료센터 시스템 운영 및 연구성과물 DB구축' 사업 과업에 따르면, e-R&D 시스템과 연계하여 결과적으로 확보해야 하는 주요 데이터 산출물의 형태는 구체적으로 무엇입니까?",A,[],4,2,3,,4,,2,3,5,,2,,5,1,5,1,,,5,1,5,1,,,1,4,1,2,,,1,1,5,2,,,5,1,5,5,,,1,2,5,1,,,2,3,5,3,,,1,2,5,4,,,5,2,5,5,,,1,2,5,1,,
(주)에스알의 '예약발매시스템 개량 ISMP 용역'이 최종적인 마스터플랜 목표를 수립하기 위해 1차적으로 선행 수행 및 투입해야만 하는 분석 대상 범위는 어떻게 한정됩니까?,A,[],5,3,5,,4,,2,3,3,,5,,5,2,5,5,,,5,2,5,5,,,5,2,5,1,,,1,4,1,2,,,1,2,5,5,,,1,5,1,5,,,5,4,5,4,,,1,1,1,5,,,5,3,5,5,,,1,3,1,1,,
"한국연구재단의 '실태조사 시스템(UICC) 기능개선' 예산(약 1.29억)을 기준으로, 이 중 3분의 1(약 33%)이 시스템 안정적인 운영지원 유지보수 용역비로 지출되고 나머지 3분의 2가 순수 신규 기능 개선 앱 코딩비에 투입될 경우, 신규 코딩비에 배정되는 금액의 산술적 크기는 얼마인가요?",A,[],2,5,5,,4,,2,5,1,,5,,1,5,1,5,,,1,4,1,5,,,1,2,1,5,,,2,2,5,5,,,1,5,1,5,,,1,5,1,5,,,2,5,1,5,,,2,3,5,5,,,1,5,1,5,,,1,5,1,2,,
인천광역시가 발주한 두 개의 사업인 '인천일자리플랫폼 ISP 수립용역'과 '도시계획위원회 통합관리시스템 구축용역' 중 도입 소요 자금이 더 큰 과업은 무엇입니까?,B,[],1,2,5,,1,,1,3,5,,1,,1,5,1,1,,,5,2,5,1,,,1,5,1,1,,,5,2,5,5,,,5,1,5,1,,,1,2,5,1,,,1,2,5,1,,,5,1,5,1,,,5,2,5,1,,,1,1,5,1,,
"수자원공사의 사고분석솔루션 시범구축(195,030,000원)과 연구재단의 UICC 기능개선 사업(129,300,000원)의 예산 차액은 얼마입니까?",B,[],1,5,5,,5,,3,5,5,,5,,1,5,5,5,,,5,1,5,5,,,1,5,1,5,,,1,5,1,5,,,1,5,1,5,,,1,5,1,5,,,2,5,5,5,,,1,5,1,5,,,1,5,1,5,,,1,5,1,5,,
"한국수출입은행의 ITS 사업과 경희대학교의 정보시스템 운영 용역 중에서, 사업 완료에 대한 가시적이고 구체적인 투입 예산액 수치가 공고문에 명시되지 않은 곳은 어느 단체입니까?",B,[],1,2,5,,3,,2,3,3,,2,,1,3,5,5,,,5,2,5,5,,,1,5,1,5,,,5,2,5,5,,,1,1,1,5,,,1,5,1,5,,,2,2,5,2,,,5,1,5,1,,,5,5,5,5,,,1,5,1,1,,
"한국가스공사 통합 ERP 도입 사업 예산(14,107,009,000원)과 한국연구재단 기초학문 DB 구축 사업 예산(212,300,000원)을 합산한 총 예산은 얼마입니까?",B,[],1,5,1,,2,,2,2,3,,5,,1,5,5,5,,,1,5,1,5,,,1,5,5,5,,,5,1,5,5,,,1,5,1,5,,,1,5,1,5,,,1,5,1,2,,,1,1,5,1,,,1,5,1,5,,,1,2,1,5,,
한국수자원공사의 수도사업장 사고분석솔루션 구축 조직과 국립공원공단(혹은 철도공사)의 모바일오피스 고도화 담당 조직이 각자의 시스템 성과 달성을 위해 채택한 상이한 '정보 전달 매체(Device Medium)'의 구조적 차이는 무엇입니까?,B,[],1,2,5,,1,,1,2,5,,1,,5,1,5,2,,,5,1,5,2,,,5,1,5,1,,,5,3,5,1,,,5,1,5,3,,,5,1,5,3,,,1,2,5,1,,,1,1,5,1,,,5,1,5,2,,,1,2,5,2,,
(주)에스알의 예약발매시스템 개량 ISMP와 인천광역시의 인천일자리플랫폼 ISP 수립 사업에서 마스터플랜을 도출할 때 공통으로 직면하는 '대형 기존 정보 채널의 분절 현상'은 각각의 도메인에서 어떤 모습으로 발현되었나요?,B,[],1,2,5,,1,,1,2,5,,2,,5,2,5,4,,,5,1,5,2,,,5,3,5,1,,,5,2,5,5,,,5,1,5,4,,,1,1,5,5,,,1,1,5,2,,,5,2,5,1,,,5,1,5,5,,,1,1,5,1,,
"한국수출입은행 모잠비크 마푸토 ITS 사업 타당성조사 예산과 인천공항운영서비스 차세대 ERP 시스템 사업 예산을 병합한 다음, 한국철도공사 예약발매 시스템 ISMP 및 모바일 오피스 고도화의 2개 사업이 추구하는 개편 목표인 '유저 접근성과 인프라 확장성 간의 기술 밸런스'를 이들 4개 사업 전체 관점에서 통합 비평하시오.",B,[],2,3,5,,2,,3,1,5,,1,,5,1,5,1,,,5,1,5,1,,,1,2,5,1,,,1,1,5,1,,,5,1,5,1,,,1,3,5,1,,,1,2,5,4,,,5,2,5,1,,,5,1,5,1,,,1,2,5,1,,
"한국수출입은행의 지능형교통시스템(ITS) 사업타당성조사가 추진하는 과업 내용 중에, 모잠비크 마푸토의 현지 학교 등교 교통비를 직접 보조해 주는 바우처 예산의 금액이 어떻게 규정되어 있습니까?",D,[],1,5,5,,1,,1,4,5,,1,,5,2,5,1,,,5,1,5,1,,,5,2,5,5,,,1,2,5,1,,,5,2,5,1,,,1,4,5,1,,,3,3,5,1,,,1,5,5,1,,,5,2,5,1,,,1,3,5,1,,
"경희대학교 산학협력단의 정보시스템 유지보수 용역 수주 시, 용역 총괄 매니저(PM)가 최소 5년 이상의 경력을 소지해야만 입찰을 허용한다는 정량적 인사 자격증 컷라인 조건이 언급되어 있나요?",D,[],1,5,5,,1,,3,5,5,,1,,5,5,5,1,,,5,4,5,1,,,5,3,5,1,,,1,2,5,1,,,5,4,5,1,,,1,3,3,1,,,5,5,5,2,,,5,3,5,1,,,5,2,5,5,,,5,3,5,1,,
그 수쟈언공사 잇자나요 샤고븐석 그 솔루션 시밤구측하는 용약 잇죠 거기 에싼 총액 좀 알려줘여.,E,[],4,4,5,,5,,5,2,3,,2,,5,2,5,1,,,5,2,5,1,,,5,3,5,1,,,1,5,1,1,,,1,2,1,1,,,1,5,1,1,,,5,5,3,5,,,5,2,5,1,,,5,2,5,1,,,1,4,1,1,,
저기 인쳔 공항 말인데요 챠세뎨 ERP 시수탬 그거 새로하눈거 에산하구 그래가지고 결과적으루 뭘 젤 바꾸려는지 그거만 따 물어볼께요.,E,[],4,5,5,,4,,5,5,5,,3,,5,1,5,1,,,5,2,5,1,,,1,3,1,1,,,1,4,1,1,,,1,5,1,1,,,1,3,1,1,,,4,5,5,2,,,1,3,1,1,,,5,2,5,1,,,1,3,1,1,,
한국수자원공사의 '건설통합시스템(CMS) 고도화' 사업 예산의 전체 배정액은 얼마인가요?,A,[],3,2,3,,3,,2,3,3,,2,,1,2,5,1,,,5,1,5,1,,,5,3,5,1,,,5,3,5,1,,,1,1,1,1,,,1,3,5,1,,,2,2,5,1,,,1,4,5,1,,,1,1,1,1,,,2,3,5,1,,
한국생산기술연구원의 '2세대 전자조달시스템 기반구축사업'의 공식 추정 예산은 얼마로 명시되어 있습니까?,A,[],5,5,5,,1,,1,2,5,,1,,5,2,5,1,,,5,2,5,1,,,5,2,5,1,,,5,5,5,1,,,5,3,5,1,,,3,1,5,1,,,5,5,5,5,,,1,5,5,1,,,5,1,5,1,,,1,1,5,5,,
(사)보험개발원이 발주한 '실손보험 청구 전산화 시스템 구축 사업'의 공고문상 책정 기초 금액은 얼마로 설정되어 있습니까?,A,[],3,3,5,,2,,5,2,5,,1,,4,2,5,1,,,1,2,5,1,,,5,2,5,1,,,5,3,5,1,,,1,2,5,1,,,2,2,5,1,,,2,3,5,2,,,5,1,5,1,,,5,2,5,1,,,2,2,5,1,,
"국방과학연구소 '기록관리시스템 통합 활용 및 보안 환경 구축' 사업에서, 물리적 기록물 관리 체계 고도화 외에 시스템 전반에 걸쳐 요구되는 핵심 보안 규격 지향점은 무엇인가요?",A,[],2,3,5,,4,,3,3,5,,2,,5,2,5,4,,,5,2,5,1,,,1,2,5,5,,,1,1,1,1,,,5,2,5,1,,,1,3,1,1,,,2,3,5,2,,,1,1,1,4,,,5,2,5,4,,,1,2,1,2,,
"한국보건산업진흥원의 '의료기기산업 종합정보시스템 기능개선' 5,000만원 규모 과업에서 단기간 내에 최우선적으로 조치해야 할 주요 개편 대상 기능 항목은 어떤 것들이 있나요?",A,[],4,5,5,,5,,3,3,5,,4,,5,1,5,5,,,5,2,5,5,,,1,2,5,5,,,2,4,1,5,,,1,2,1,5,,,1,3,1,1,,,4,5,3,5,,,1,3,5,1,,,1,3,1,1,,,1,3,5,5,,
"울산광역시의 '버스정보시스템 확대 구축 및 기능개선(약 9.8억)' 사업 목표에서 하드웨어 인프라(BIT 등 정보안내 단말기) 신규 설치 비용으로 전체 예산의 60%를 쓰고, 나머지 40%를 온전히 중앙 서버 소프트웨어 고도화에 소진한다고 가정할 때, 하드웨어 투입 산술 비용은 얼마입니까?",A,[],2,5,1,,5,,4,5,3,,5,,1,5,1,5,,,1,5,1,5,,,1,5,1,5,,,1,4,5,5,,,1,5,3,5,,,1,5,1,5,,,1,5,1,4,,,1,3,5,5,,,1,2,5,5,,,1,5,1,1,,
고려대학교 차세대 시스템 구축 사업비(약 112.7억)와 한국생산기술연구원 2세대 전자조달시스템 사업비(약 0.94억) 중 사업 규모가 압도적으로 큰 기관은 어디인가요?,B,[],1,1,5,,1,,1,2,5,,1,,1,5,1,5,,,1,5,1,5,,,1,5,1,1,,,5,1,5,1,,,1,2,1,5,,,1,1,5,5,,,1,5,1,5,,,5,5,5,1,,,1,5,1,5,,,1,5,1,1,,
한국수자원공사 건설통합시스템(CMS) 고도화 사업비 7.8억과 국방과학연구소 대용량 자료전송시스템 고도화 사업비 3.1억을 합한 총 예산은 어떻게 산출됩니까?,B,[],2,2,5,,1,,1,2,5,,1,,1,5,1,5,,,1,1,1,5,,,1,2,1,5,,,1,2,5,5,,,5,1,5,5,,,5,2,5,5,,,1,2,5,2,,,5,2,5,5,,,1,5,1,5,,,1,3,5,5,,
을지대학교 비교과시스템 개발 영역과 보험개발원 실손보험 전산화 사업 중 명시적인 발주 기관의 구축 예산이 수억 원 단위로 확정 표기되어 있는 사업이 있습니까?,B,[],2,4,3,,4,,2,4,5,,2,,1,3,5,2,,,5,3,5,5,,,5,3,5,1,,,1,4,5,2,,,5,3,5,1,,,1,4,5,1,,,4,3,5,3,,,1,5,5,5,,,5,3,5,4,,,5,3,5,1,,
"국방과학연구소 내에서 발주된 '대용량 자료전송시스템 사업(316,800,000원)'과 '기록관리시스템 보안 환경 사업(282,300,000원)' 간의 자금 배분 차이액은 얼마로 형성됩니까?",B,[],1,5,1,,4,,1,5,1,,4,,1,5,1,5,,,1,5,1,5,,,1,5,1,5,,,1,2,5,5,,,1,5,1,5,,,5,5,5,5,,,2,5,5,3,,,1,5,5,5,,,1,5,1,5,,,5,5,5,5,,
울산광역시가 구비하려는 '버스정보시스템 확대 체계'와 에스알(한국철도공사)의 '예약발매시스템 ISMP 구축망' 간에는 어떤 공통적인 시민 대상 교통 인프라 혁신 지향점이 내재되어 있습니까?,B,[],1,3,5,,2,,2,3,3,,2,,5,2,5,1,,,1,5,1,1,,,5,2,5,2,,,1,2,5,1,,,1,4,1,1,,,1,4,1,2,,,1,2,5,2,,,1,4,5,2,,,5,2,5,1,,,1,4,5,2,,
한국수자원공사 CMS 고도화 사업과 고려대학교 차세대 포털·학사 정보망 시스템 모두 레거시 플랫폼(기존 옛 시스템)을 완전 개편하려는 목적입니다. 그러나 양자가 타깃으로 하는 메인 유관 부서 및 이해관계자 그룹의 차이는 무엇입니까?,B,[],2,2,3,,3,,2,2,5,,3,,5,2,5,5,,,5,1,5,5,,,5,2,5,5,,,1,2,3,5,,,5,2,5,2,,,1,4,1,2,,,2,2,5,2,,,1,2,5,2,,,1,2,5,1,,,1,2,1,5,,
"고려대학교의 대형 차세대 포털 사업(112.7억)과 (사)보험개발원의 실손보험 청구 전산망 구축, 그리고 국방과학연구소의 대용량 자료전송시스템 고도화(3.1억) 사업이 각자 직면하고 있는 '대규모 데이터 보안 유출 위험성'의 도메인 특이점(어떤 종류의 정보가 유출될 때 가장 민감한 타격을 입는지)을 서술하고, 비교 가능한 두 사업의 합산 예산을 적으십시오.",B,[],1,2,5,,1,,1,2,5,,2,,5,1,5,1,,,1,4,1,1,,,1,4,1,1,,,1,1,5,1,,,5,1,5,1,,,1,2,1,1,,,2,2,3,1,,,5,1,5,1,,,5,1,5,1,,,2,2,5,1,,
"울산광역시 버스정보시스템 확장 용역 예산과 한국생산기술연구원 전자조달시스템 구축 예산의 합계 투입 금액을 산정한 후, 이들 지방행정 교통 인프라와 공공 출연 연구원 조달 시스템이 대민 편의를 도모할 때 각각 B2C(시민) 방식과 B2B(사업자) 방식 중 어떤 형태로 지향점이 엇갈리는지 두드러진 성격 차이를 기술하시오.",B,[],1,2,5,,1,,1,2,5,,2,,5,2,5,2,,,5,1,5,1,,,1,3,1,1,,,1,3,5,2,,,5,1,5,1,,,1,2,5,1,,,2,3,5,1,,,5,3,5,2,,,1,3,1,1,,,1,3,1,2,,
한국보건산업진흥원의 '의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업'에서 외부 개발자가 재택 비대면 근무를 허여받기 위해 제출해야 하는 보안 서약서의 최소 요구 부수는 시스템 문서상 몇 부입니까?,D,[],2,2,5,,2,,1,3,5,,2,,5,2,5,5,,,5,2,5,5,,,1,5,5,5,,,1,2,5,5,,,1,3,5,5,,,5,2,5,5,,,1,4,5,2,,,1,3,5,5,,,1,3,1,5,,,5,1,5,5,,
"한국생산기술연구원의 2세대 전자조달시스템 구축 시 연동되어야 하는 외부 조달 데이터망 중, 유렵연합(EU) 산하 국제조달청과의 환율 자동 갱신 연계 인터페이스 구축이 지시서상 기술되어 있습니까?",D,[],1,2,5,,1,,1,4,5,,1,,5,2,5,1,,,5,1,5,1,,,1,2,5,1,,,5,2,5,1,,,5,3,5,1,,,1,2,1,1,,,1,5,5,5,,,5,2,5,1,,,5,2,5,4,,,1,2,5,2,,
됴대쳬 이거 고려대확꾜 챠세댸 포턀 항사 졍부시트탬 국축하능데 전채 예산얼마나드감?,E,[],5,5,5,,5,,3,2,5,,2,,5,2,5,1,,,5,2,5,1,,,1,1,5,1,,,5,3,5,1,,,1,2,1,1,,,1,2,1,1,,,5,2,5,2,,,5,2,5,1,,,1,1,1,1,,,1,3,5,1,,
코이카말귱 져기 한국슈쟈원 굥사에서여 건축통함시스템인 CMS를 꾀도화한다능데 총 예산좀 알려쥬라요.,E,[],2,3,1,,4,,4,5,5,,5,,5,1,5,1,,,5,2,5,5,,,1,2,5,1,,,1,5,1,1,,,1,5,1,1,,,1,5,1,1,,,4,5,3,4,,,1,3,1,1,,,1,5,1,1,,,1,5,1,1,,
(사)보험개발원의 '실손보험 청구 전산화 시스템 구축 사업' 대상 시스템은 어떤 산업의 종이 서류를 전자화하려 합니까?,A,[],5,5,5,,5,,5,4,5,,5,,4,5,5,5,,,1,2,5,5,,,4,5,1,5,,,5,4,5,5,,,1,1,5,5,,,4,4,5,5,,,5,5,5,5,,,5,5,5,5,,,1,2,5,5,,,4,5,5,3,,
